window,accuracy
1600:1700,0.673913043478261
29400:29500,0.6478260869565217
32100:32200,0.6434782608695652
19400:19500,0.643478260869565
900:1000,0.6304347826086956
16300:16400,0.6260869565217392
24600:24700,0.6260869565217391
1700:1800,0.6217391304347826
26900:27000,0.6217391304347826
17500:17600,0.6086956521739131
6400:6500,0.608695652173913
19100:19200,0.608695652173913
36800:36900,0.608695652173913
4800:4900,0.5999999999999999
8700:8800,0.5956521739130436
21800:21900,0.5956521739130436
36700:36800,0.5956521739130436
2900:3000,0.5956521739130435
20300:20400,0.5956521739130434
11700:11800,0.5913043478260869
4200:4300,0.5869565217391304
5200:5300,0.5869565217391304
36100:36200,0.5869565217391304
2800:2900,0.5826086956521739
25500:25600,0.5826086956521739
31600:31700,0.5826086956521739
32000:32100,0.5826086956521739
21500:21600,0.5782608695652174
9100:9200,0.5739130434782609
11200:11300,0.5739130434782609
15300:15400,0.5739130434782609
32500:32600,0.5739130434782609
39900:40000,0.5739130434782609
39000:39100,0.5739130434782608
2500:2600,0.5695652173913044
19200:19300,0.5695652173913044
16200:16300,0.5695652173913043
17100:17200,0.5695652173913043
17900:18000,0.5695652173913043
11600:11700,0.5652173913043478
23800:23900,0.5652173913043478
4900:5000,0.5608695652173913
17200:17300,0.5608695652173913
31000:31100,0.5608695652173913
23300:23400,0.5565217391304349
5800:5900,0.5565217391304348
7100:7200,0.5565217391304348
8300:8400,0.5565217391304348
13500:13600,0.5565217391304348
32900:33000,0.5565217391304348
28700:28800,0.5565217391304347
7000:7100,0.5521739130434783
37800:37900,0.5521739130434783
1000:1100,0.5521739130434782
3000:3100,0.5521739130434782
5300:5400,0.5521739130434782
35600:35700,0.5521739130434782
14500:14600,0.5478260869565218
10900:11000,0.5478260869565217
12300:12400,0.5478260869565217
22400:22500,0.5478260869565217
30500:30600,0.5478260869565217
7600:7700,0.5434782608695653
23000:23100,0.5434782608695652
23200:23300,0.5434782608695652
34300:34400,0.5434782608695652
37100:37200,0.5434782608695652
29800:29900,0.5391304347826088
4400:4500,0.5391304347826087
4600:4700,0.5391304347826087
12800:12900,0.5391304347826087
14100:14200,0.5391304347826087
20900:21000,0.5391304347826087
24900:25000,0.5391304347826087
28600:28700,0.5391304347826087
4300:4400,0.5347826086956522
14000:14100,0.5347826086956522
18300:18400,0.5347826086956522
20200:20300,0.5347826086956522
21700:21800,0.5347826086956522
28000:28100,0.5347826086956522
31200:31300,0.5347826086956522
32200:32300,0.5347826086956522
36600:36700,0.5347826086956522
37000:37100,0.5347826086956522
21100:21200,0.5347826086956521
15200:15300,0.5304347826086957
8000:8100,0.5304347826086956
14400:14500,0.5304347826086956
15000:15100,0.5304347826086956
29600:29700,0.5304347826086956
1300:1400,0.5260869565217392
14700:14800,0.5260869565217392
25900:26000,0.5260869565217392
28300:28400,0.5260869565217392
29100:29200,0.5260869565217392
31700:31800,0.5260869565217392
39100:39200,0.5260869565217392
13100:13200,0.5217391304347827
39600:39700,0.5217391304347827
3400:3500,0.5217391304347826
13200:13300,0.5217391304347826
17400:17500,0.5217391304347826
17800:17900,0.5217391304347826
27800:27900,0.5217391304347826
31900:32000,0.5217391304347826
35000:35100,0.5217391304347826
39300:39400,0.5217391304347826
41200:41300,0.5217391304347826
6900:7000,0.5217391304347825
28800:28900,0.5217391304347825
32800:32900,0.5217391304347825
40800:40900,0.5217391304347825
8600:8700,0.5173913043478262
15100:15200,0.5173913043478262
24000:24100,0.5173913043478262
25700:25800,0.5173913043478262
28100:28200,0.5173913043478262
33600:33700,0.5173913043478262
28200:28300,0.517391304347826
29200:29300,0.517391304347826
1900:2000,0.5130434782608696
10700:10800,0.5130434782608696
31300:31400,0.5130434782608696
36900:37000,0.5130434782608696
37200:37300,0.5130434782608696
300:400,0.5130434782608695
1100:1200,0.5130434782608695
4500:4600,0.5130434782608695
10400:10500,0.5130434782608695
23900:24000,0.5130434782608695
24200:24300,0.5130434782608695
29700:29800,0.5130434782608695
1400:1500,0.5086956521739131
2200:2300,0.5086956521739131
8200:8300,0.5086956521739131
26100:26200,0.5086956521739131
38700:38800,0.508695652173913
39500:39600,0.508695652173913
34900:35000,0.5086956521739129
1800:1900,0.5043478260869565
10300:10400,0.5043478260869565
11000:11100,0.5043478260869565
12900:13000,0.5043478260869565
18700:18800,0.5043478260869565
21400:21500,0.5043478260869565
27300:27400,0.5043478260869565
32600:32700,0.5043478260869565
36300:36400,0.5043478260869565
9700:9800,0.5000000000000001
19600:19700,0.5000000000000001
21600:21700,0.5000000000000001
22800:22900,0.5000000000000001
3200:3300,0.5
9300:9400,0.5
12500:12600,0.5
31400:31500,0.5
